"objectid","id1","fk_zaehler","abkuerzung","bezeichnung","von","bis","richtung_in","richtung_out","korrekturfaktor","status","has_geschwindigkeit","velo","fuss","geometry"
"148","3919","ECO07091438","VZS_MYTH","Mythenquai","20181222000000","20190307000000","Innenstadt","Wollishofen","1.2","früher","0","1","0","POINT (2682873 1245890.9)"
"149","3920","ECO07111527","VZS_BERT","Bertastrasse","20181221000000","20190308000000","Wiedikon","Aussersihl","1.27","früher","0","1","0","POINT (2681385 1247735.9)"
"150","3921","ECO07101504","VZS_SIHL","Sihlpromenade","20181222000000","20190308000000","Innenstadt","Saalsporthalle","1.09","früher","0","1","0","POINT (2682375 1247054.9)"
"151","2991","Y2H19111476","VZS_TALS","Talstrasse","20191204000000","","Hauptbahnhof","Seeufer","1.35","aktuell","0","1","0","POINT (2682756 1247322.9)"
"152","3009","U15G3063866","FZS_CASS","Cassiopeiasteg","20200827000000","20210505000000","Stadtgrenze","Bellevue","0.91","früher","0","0","1","POINT (2683022.5 1244140.1)"
"153","3012","Y2H20114444","VZS_BUCH","Bucheggplatz","20210225000000","","Hofwiesenstrasse","Höngg","1.27","aktuell","0","1","0","POINT (2682646.8 1250363.9)"
"154","4243","U15G3063866","FZS_OHMW","Ohmstrasse West","20211002000000","20230323000000","Sternen Oerlikon","Bhf. Oerlikon","1.26","früher","0","0","1","POINT (2683557.2 1251702.2)"
"155","4246","DGP22022111","FZS_DAMW","Dammweg","20220224000000","","Limmatstrasse","Sihlquai","1","aktuell","0","0","1","POINT (2682146.5 1249212.4)"
"156","4247","U15G3104444","FZS_LANS","Langstrasse (Unterführung Süd)","20220224000000","20230124000000","Gleisanlagen","Limmat","1","früher","0","0","1","POINT (2682347.8 1248427.2)"
"157","3923","ECO09113506","VZS_BERT","Bertastrasse","20190309000000","20210921000000","Wiedikon","Aussersihl","1.27","früher","0","1","0","POINT (2681385 1247735.9)"
"158","3924","ECO09113503","VZS_SIHL","Sihlpromenade","20190309000000","20221027000000","Innenstadt","Saalsporthalle","1.09","früher","0","1","0","POINT (2682375 1247054.9)"
"159","3925","ECO09113501","VZS_SCHE","Scheuchzerstrasse","20190308000000","20190704000000","Innenstadt","Irchel","1.05","früher","0","1","0","POINT (2683573 1248544.9)"
"160","3926","ECO09022739","VZS_LUXG","Lux-Guyer-Weg","20190308000000","20200213000000","Innenstadt","Wipkingen","1","früher","0","1","0","POINT (2682933 1248820.9)"
"161","3927","ECO09113499","VZS_MYTH","Mythenquai","20190308000000","20220303000000","Innenstadt","Wollishofen","1.2","früher","0","1","0","POINT (2682873 1245890.9)"
"162","2980","Y2H19070283","VZS_ZOLL","Zollstrasse","20190723081500","20220331000000","Langstrasse","Sihlquai","1.49","früher","0","1","0","POINT (2682944.8 1248225)"
"163","3010","U15G3063873","FZS_HARD","Hardeggsteg","20201007000000","20210322000000","Kloster-Fahr-Weg","Hardturmstrasse","0.86","früher","0","0","1","POINT (2680439.2 1249929.5)"
"164","3011","U15G3063869","FZS_LETD","Letten / Dynamo","20201007000000","20210322000000","Limmatplatz","Hauptbahnhof","0.89","früher","0","0","1","POINT (2682977.8 1248744)"
"165","4249","Y2H21111102","VZS_LANS","Langstrasse (Unterführung Süd)","20220304000000","","Limmatplatz","Helvetiaplatz","1","aktuell","0","1","0","POINT (2682296 1248311.1)"
"166","5000","U15G3063869","FZS_LETL","Lettenviadukt (Limmatstr.)","20220406000000","20221010000000","Limmat","Gleisanlagen","0.79","früher","0","0","1","POINT (2682171 1249123.9)"
"167","5001","U15G3063873","FZS_CHOR","Chorherrenweg","20220406000000","20221010000000","Limmat","Meierhofplatz","0.74","früher","0","0","1","POINT (2680001.2 1250595.2)"
"168","5002","Y2H22073807","VZS_MYTH","Mythenquai","20220927000000","","Innenstadt","Wollishofen","0.98","aktuell","0","1","0","POINT (2682873 1245890.9)"
"169","5003","U15G3063869","FZS_LETD","Letten / Dynamo","20221012000000","20230323000000","Limmatplatz","Hauptbahnhof","0.89","früher","0","0","1","POINT (2682978 1248743.9)"
"170","5004","U15G3063873","FZS_HARD","Hardeggsteg","20221012000000","20230323000000","Kloster-Fahr-Weg","Hardturmstrasse","0.86","früher","0","0","1","POINT (2680439 1249929.9)"
"171","4255","Y2H22063445","VZS_TOED","Tödistrasse","20221203000000","","Seeufer","Hauptbahnhof","1.41","aktuell","0","1","0","POINT (2682881 1246548.9)"
"172","4267","Y2H20083483","VZS_LIMC","Limmatquai --> Central","20230727000000","","Central","","1","aktuell","0","1","0","POINT (2683457 1247064.9)"
"173","4268","ZLT23070240","VZS_TANN","Tannenrauchstrasse","20230919000000","20231004000000","Innenstadt","Wollishofen","1.46","früher","0","1","0","POINT (2682227 1244618)"
